ID,CsquareCode,LOICZID,NLimit,Slimit,WLimit,ELimit,CenterLat,CenterLong,CellArea,OceanArea,PWater,ClimZoneCode,FAOAreaM,FAOAreaIn,CountryMain,CountrySecond,CountryThird,CountrySubMain,CountrySubSecond,CountrySubThird,EEZ,LME,LMEBorder,MEOW,OceanBasin,IslandsNo,Area0_20,Area20_40,Area40_60,Area60_80,Area80_100,AreaBelow100,ElevationMin,ElevationMax,ElevationMean,ElevationSD,DepthMin,DepthMax,DepthMean,DepthSD,SSTAnMean,SBTAnMean,SalinityMean,SalinityBMean,PrimProdMean,IceConAnn,OxyMean,OxyBMean,LandDist,Shelf,Slope,Abyssal,TidalRange,Coral,Estuary,Seamount,MPA
198372,7010:100:1,129040,0.5,0,-100.5,-100,0.25,-100.25,3091.03,3091.03,100,NT,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,3091.03,-9999,-9999,-9999,-9999,2766,3423,3297,88.8,24.0539512634277,1.37499403953552,34.5306854248047,34.6815299987793,15.4100004583597,0,207.249542236328,133.749359130859,1001,0,3091.036,0,-9999,0,0,0,NA
198373,7010:100:2,129039,0.5,0,-101,-100.5,0.25,-100.75,3091.03,3091.03,100,NT,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,3091.03,-9999,-9999,-9999,-9999,2998,3355,3247,47.59,24.0518360137939,1.37489902973175,34.5430221557617,34.6847152709961,15.4069997370243,0,207.239135742188,133.856369018555,1056,0,3091.036,0,-9999,0,0,0,NA
198374,7010:100:3,128320,1,0.5,-100.5,-100,0.75,-100.25,3090.8,3090.8,100,NT,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,3090.8,-9999,-9999,-9999,-9999,3215,3513,3338,59.81,24.6286716461182,1.37836503982544,34.3812484741211,34.6830444335938,13.6559996753931,0,207.769638061523,132.720199584961,1002,0,3090.8,0,-9999,0,0,0,NA
198375,7010:100:4,128319,1,0.5,-101,-100.5,0.75,-100.75,3090.8,3090.8,100,NT,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,3090.8,-9999,-9999,-9999,-9999,3134,3419,3283,60.1,24.6030960083008,1.37874102592468,34.3967361450195,34.6859664916992,13.6900003999472,0,207.772689819336,132.462341308594,1058,0,3090.8,0,-9999,0,0,0,NA
198376,7010:101:1,129038,0.5,0,-101.5,-101,0.25,-101.25,3091.03,3091.03,100,NT,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,3091.03,-9999,-9999,-9999,-9999,3150,3347,3252,36.1,24.0526123046875,1.38502705097198,34.5563926696777,34.6730003356934,15.4250003397465,0,207.238571166992,133.816650390625,1112,0,3091.036,0,-9999,0,0,0,NA
198377,7010:101:2,129037,0.5,0,-102,-101.5,0.25,-101.75,3091.03,3091.03,100,NT,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,3091.03,-9999,-9999,-9999,-9999,3029,3378,3205,50.25,24.0299777984619,1.3833669424057,34.5685424804688,34.6730003356934,15.451000072062,0,207.24674987793,134.174133300781,1168,0,3091.036,0,-9999,0,0,0,NA
198378,7010:101:3,128318,1,0.5,-101.5,-101,0.75,-101.25,3090.8,3090.8,100,NT,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,3090.8,-9999,-9999,-9999,-9999,2935,3402,3265,55.28,24.5951061248779,1.37716603279114,34.4117202758789,34.6863746643066,13.7259997427464,0,207.767135620117,132.780288696289,1113,0,3090.8,0,-9999,0,0,0,NA
198379,7010:101:4,128317,1,0.5,-102,-101.5,0.75,-101.75,3090.8,3090.8,100,NT,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,3090.8,-9999,-9999,-9999,-9999,3080,3446,3224,70.81,24.5580883026123,1.38692498207092,34.4264755249023,34.6730003356934,13.7689998373389,0,207.765426635742,132.905014038086,1169,0,3090.8,0,-9999,0,0,0,NA
198380,7010:102:1,129036,0.5,0,-102.5,-102,0.25,-102.25,3091.03,3091.03,100,NT,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,3091.03,-9999,-9999,-9999,-9999,2895,3301,3143,104.17,24.0259418487549,1.38167798519135,34.5791130065918,34.6730003356934,15.468000434339,0,207.257095336914,134.707077026367,1223,0,3091.036,0,-9999,0,0,0,NA
198381,7010:102:2,129035,0.5,0,-103,-102.5,0.25,-102.75,3091.03,3091.03,100,NT,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,3091.03,-9999,-9999,-9999,-9999,3153,3438,3292,53.24,24.0051441192627,1.38131105899811,34.5881385803223,34.6730003356934,15.4710002243519,0,207.265289306641,135.380737304688,1279,0,3091.036,0,-9999,0,0,0,NA
198382,7010:102:3,128316,1,0.5,-102.5,-102,0.75,-102.25,3090.8,3090.8,100,NT,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,3090.8,-9999,-9999,-9999,-9999,2886,3459,3175,121.91,24.5438175201416,1.46036398410797,34.4400863647461,34.6730003356934,13.8219995424151,0,207.77961730957,132.802551269531,1224,0,3090.8,0,-9999,0,0,0,NA
198383,7010:102:4,128315,1,0.5,-103,-102.5,0.75,-102.75,3090.8,3090.8,100,NT,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,31000,-9999,0,0,0,0,0,3090.8,-9999,-9999,-9999,-9999,2904,3445,3319,88.56,24.5369777679443,1.3808000087738,34.4521179199219,34.6730003356934,13.8849997892976,0,207.816879272461,134.472961425781,1280,0,3090.8,0,-9999,0,0,0,NA
