SpeciesID,SpecCode,Genus,Species,FBname,OccurCells,Kingdom,Phylum,Class,Order,Family,iucn_id,iucn_code,iucn_version
ITS-Mam-771132,81384,Orcaella,heinsohni,Australian snubfin dolphin,83,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,136315,VU,2020-2
ITS-Mam-770889,131338,Balaenoptera,omurai,NA,23,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,136623,DD,2020-2
ITS-Mam-770938,152260,Sotalia,guianensis,NA,29,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,181359,NT,2020-2
SLB-190161,155857,Tursiops,australis,Burrunan dolphin,11,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,NA,N.E.,2020-2
ITS-Mam-180547,69195,Enhydra,lutris,sea otter,215,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,7750,EN,2020-2
ITS-Mam-621916,71068,Lutra,lutra,Eurasian river otter,724,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,12419,NT,2020-2
ITS-Mam-180639,68962,Odobenus,rosmarus,walrus,738,Animalia,Chordata,Mammalia,Carnivora,Odobenidae,15106,VU,2020-2
ITS-Mam-180633,68958,Arctocephalus,australis,South American fur seal,116,Animalia,Chordata,Mammalia,Carnivora,Otariidae,2055,LC,2020-2
ITS-Mam-180631,68956,Arctocephalus,forsteri,New Zealand fur seal,348,Animalia,Chordata,Mammalia,Carnivora,Otariidae,41664,LC,2020-2
ITS-Mam-180634,68959,Arctocephalus,galapagoensis,Galapagos fur seal,27,Animalia,Chordata,Mammalia,Carnivora,Otariidae,2057,EN,2020-2
ITS-Mam-180630,68955,Arctocephalus,gazella,Antarctic fur seal,770,Animalia,Chordata,Mammalia,Carnivora,Otariidae,2058,LC,2020-2
ITS-Mam-180636,68961,Arctocephalus,townsendi,Guadalupe fur seal,54,Animalia,Chordata,Mammalia,Carnivora,Otariidae,2061,LC,2020-2
ITS-Mam-180632,68957,Arctocephalus,tropicalis,Subantarctic fur seal,82,Animalia,Chordata,Mammalia,Carnivora,Otariidae,2062,LC,2020-2
ITS-Mam-180627,69422,Callorhinus,ursinus,northern fur seal,462,Animalia,Chordata,Mammalia,Carnivora,Otariidae,3590,VU,2020-2
ITS-Mam-180625,69421,Eumetopias,jubatus,Steller's sea lion,305,Animalia,Chordata,Mammalia,Carnivora,Otariidae,8239,NT,2020-2
