kingdom,phylum,class,order,family,genus,sciname,taxonomic_authority,population,category,main_common,iucn_sid
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Allactaga,Allactaga tetradactyla,"(Lichtenstein, 1823)",NA,DD,Four-toed Jerboa,850
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Aonyx,Aonyx capensis,"(Schinz, 1821)",NA,NT,African Clawless Otter,1793
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Apodemus,Apodemus sylvaticus,"(Linnaeus, 1758)",NA,LC,Long-tailed Field Mouse,1904
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,Arctocephalus australis,"(Zimmermann, 1783)",NA,LC,South American Fur Seal,2055
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,Arctocephalus galapagoensis,"Heller, 1904",NA,EN,Galápagos Fur Seal,2057
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,Arctocephalus gazella,"(Peters, 1875)",NA,LC,Antarctic Fur Seal,2058
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,Arctocephalus philippii,"(Peters, 1866)",NA,LC,Juan Fernández Fur Seal,2059
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,Arctocephalus pusillus,"(Schreber, 1775)",NA,LC,Afro-Australian Fur Seal,2060
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,Arctocephalus townsendi,"Merriam, 1897",NA,LC,Guadalupe Fur Seal,2061
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,Arctocephalus tropicalis,"(J.E. Gray, 1872)",NA,LC,Subantarctic Fur Seal,2062
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,Arctocephalus australis ssp. australis,"(Zimmermann, 1783)",NA,LC,South American Fur Seal,2064
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,Arctocephalus pusillus ssp. pusillus,"(Schreber, 1775)",NA,LC,Cape Fur Seal,2066
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,Arctocephalus pusillus ssp. doriferus,"Wood Jones, 1925",NA,LC,Australian Fur Seal,2067
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENIDAE,Balaena,Balaena mysticetus,"Linnaeus, 1758",NA,LC,Bowhead Whale,2467
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENIDAE,Balaena,Balaena mysticetus,"Linnaeus, 1758",Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,Bowhead Whale Bering-Chukchi-Beaufort Seas subpopulation,2468
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENIDAE,Balaena,Balaena mysticetus,"Linnaeus, 1758",Okhotsk Sea subpopulation,EN,Okhotsk Sea Bowhead Whale,2469
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,Balaenoptera acutorostrata,"Lacépède, 1804",NA,LC,Common Minke Whale,2474
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,Balaenoptera borealis,"Lesson, 1828",NA,EN,Sei Whale,2475
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,Balaenoptera edeni,"Anderson, 1879",NA,LC,Rice's Whale,2476
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,Balaenoptera musculus,"(Linnaeus, 1758)",NA,EN,Blue Whale,2477
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,Balaenoptera physalus,"(Linnaeus, 1758)",NA,VU,Fin Whale,2478
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,Balaenoptera bonaerensis,"Burmeister, 1867",NA,NT,Antarctic Minke Whale,2480
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Berardius,Berardius arnuxii,"Duvernoy, 1851",NA,LC,Arnoux's Beaked Whale,2762
ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,Berardius,Berardius bairdii,"Stejneger, 1883",NA,LC,Baird's Beaked Whale,2763
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Callorhinus,Callorhinus ursinus,"(Linnaeus, 1758)",NA,VU,Northern Fur Seal,3590
ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,Canis mesomelas,"Schreber, 1775",NA,LC,Black-backed Jackal,3755
